T=24.700000000000067, Entropy = 267.44772804870166, Converged=True, damping=0.3
T=24.800000000000068, Entropy = 267.4947643682272, Converged=True, damping=0.3
T=24.90000000000007, Entropy = 267.5422384517694, Converged=True, damping=0.3
T=25.00000000000007, Entropy = 267.5901431856305, Converged=True, damping=0.3
T=25.100000000000072, Entropy = 267.6384715617651, Converged=True, damping=0.3
T=25.200000000000074, Entropy = 267.6872166758974, Converged=True, damping=0.3
T=25.300000000000075, Entropy = 267.7363717257692, Converged=True, damping=0.3
T=25.400000000000077, Entropy = 267.78593000947615, Converged=True, damping=0.3
T=25.500000000000078, Entropy = 267.83588492379783, Converged=True, damping=0.3
T=25.60000000000008, Entropy = 267.8862299624825, Converged=True, damping=0.3
T=25.70000000000008, Entropy = 267.93695871457646, Converged=True, damping=0.3
T=25.800000000000082, Entropy = 267.98806486296644, Converged=True, damping=0.3
T=25.900000000000084, Entropy = 268.0395421827389, Converged=True, damping=0.3
T=26.000000000000085, Entropy = 268.0913845396418, Converged=True, damping=0.3
T=26.100000000000087, Entropy = 268.14358588873364, Converged=True, damping=0.3
T=26.200000000000088, Entropy = 268.1961402726055, Converged=True, damping=0.3
T=26.30000000000009, Entropy = 268.24904182029456, Converged=True, damping=0.3
T=26.40000000000009, Entropy = 268.30228474566144, Converged=True, damping=0.3
T=26.500000000000092, Entropy = 268.3558633460718, Converged=True, damping=0.3
T=26.600000000000094, Entropy = 268.4097720009776, Converged=True, damping=0.3
T=26.700000000000095, Entropy = 268.4640051707021, Converged=True, damping=0.3
T=26.800000000000097, Entropy = 268.5185573950281, Converged=True, damping=0.3
T=26.900000000000098, Entropy = 268.5734232920473, Converged=True, damping=0.3
T=27.0000000000001, Entropy = 268.6285975566906, Converged=True, damping=0.3
T=27.1000000000001, Entropy = 268.6840749596811, Converged=True, damping=0.3
T=27.200000000000102, Entropy = 268.739850346251, Converged=True, damping=0.3
T=27.300000000000104, Entropy = 268.7959186350772, Converged=True, damping=0.3
T=27.400000000000105, Entropy = 268.8522748168221, Converged=True, damping=0.3
T=27.500000000000107, Entropy = 268.9089139533353, Converged=True, damping=0.3
T=27.600000000000108, Entropy = 268.9658311762831, Converged=True, damping=0.3
T=27.70000000000011, Entropy = 269.0230216862194, Converged=True, damping=0.3
T=27.80000000000011, Entropy = 269.0804807513745, Converged=True, damping=0.3
T=27.900000000000112, Entropy = 269.1382037066816, Converged=True, damping=0.3
T=28.000000000000114, Entropy = 269.1961859526638, Converged=True, damping=0.3
T=28.100000000000115, Entropy = 269.2544229544988, Converged=True, damping=0.3
T=28.200000000000117, Entropy = 269.31291024091206, Converged=True, damping=0.3
T=28.300000000000118, Entropy = 269.371643403339, Converged=True, damping=0.3
T=28.40000000000012, Entropy = 269.43061809475705, Converged=True, damping=0.3
T=28.50000000000012, Entropy = 269.4898300288825, Converged=True, damping=0.3
T=28.600000000000122, Entropy = 269.54927497928577, Converged=True, damping=0.3
T=28.700000000000124, Entropy = 269.60894877826456, Converged=True, damping=0.3
T=28.800000000000125, Entropy = 269.6688473161048, Converged=True, damping=0.3
T=28.900000000000126, Entropy = 269.72896654021275, Converged=True, damping=0.3
T=29.000000000000128, Entropy = 269.7893024541381, Converged=True, damping=0.3
T=29.10000000000013, Entropy = 269.84985111675684, Converged=True, damping=0.3
T=29.20000000000013, Entropy = 269.91060864156253, Converged=True, damping=0.3
T=29.300000000000132, Entropy = 269.971571195562, Converged=True, damping=0.3
T=29.400000000000134, Entropy = 270.0327349988175, Converged=True, damping=0.3
T=29.500000000000135, Entropy = 270.09409632331113, Converged=True, damping=0.3
T=29.600000000000136, Entropy = 270.15565149241615, Converged=True, damping=0.3
T=29.700000000000138, Entropy = 270.2173968800614, Converged=True, damping=0.3
T=29.80000000000014, Entropy = 270.27932890981225, Converged=True, damping=0.3
T=29.90000000000014, Entropy = 270.34144405442805, Converged=True, damping=0.3
