T=5.899999999999999, Entropy = 143.241526958799, Converged=True, Max dm = 8.835005810281515e-09, damping=0.4, BP density N/V=0.7284114420675141, chemical potential=0
T=5.999999999999999, Entropy = 142.91706039257934, Converged=True, Max dm = 7.18360360085768e-09, damping=0.4, BP density N/V=0.726599436044832, chemical potential=0
T=6.099999999999999, Entropy = 142.6051099463692, Converged=True, Max dm = 9.797853667281586e-09, damping=0.4, BP density N/V=0.7248550327083956, chemical potential=0
T=6.199999999999998, Entropy = 142.304968116209, Converged=True, Max dm = 8.609901486211768e-09, damping=0.4, BP density N/V=0.7231745518281205, chemical potential=0
T=6.299999999999999, Entropy = 142.01597952550128, Converged=True, Max dm = 7.2569756315310485e-09, damping=0.4, BP density N/V=0.7215545731973211, chemical potential=0
T=6.399999999999999, Entropy = 141.73753623000775, Converged=True, Max dm = 7.442106264576864e-09, damping=0.4, BP density N/V=0.7199919142730973, chemical potential=0
T=6.499999999999998, Entropy = 141.4690735194623, Converged=True, Max dm = 9.846466947349697e-09, damping=0.4, BP density N/V=0.7184836100646464, chemical potential=0
T=6.599999999999999, Entropy = 141.2100661558025, Converged=True, Max dm = 8.986744792771617e-09, damping=0.4, BP density N/V=0.7170268950126923, chemical potential=0
T=6.699999999999998, Entropy = 140.96002499617404, Converged=True, Max dm = 9.789227456424854e-09, damping=0.4, BP density N/V=0.7156191866358054, chemical potential=0
T=6.799999999999999, Entropy = 140.7184939556756, Converged=True, Max dm = 9.633701086864122e-09, damping=0.4, BP density N/V=0.714258070747659, chemical potential=0
T=6.899999999999999, Entropy = 140.4850472708091, Converged=True, Max dm = 9.13921691103603e-09, damping=0.4, BP density N/V=0.7129412880733562, chemical potential=0
T=6.999999999999998, Entropy = 140.25928702955463, Converged=True, Max dm = 9.709585802042398e-09, damping=0.4, BP density N/V=0.7116667221140542, chemical potential=0
T=7.099999999999999, Entropy = 140.0408409383622, Converged=True, Max dm = 7.863287437848143e-09, damping=0.4, BP density N/V=0.7104323881271712, chemical potential=0
T=7.199999999999998, Entropy = 139.82936030002543, Converged=True, Max dm = 7.943986274350223e-09, damping=0.4, BP density N/V=0.709236423105261, chemical potential=0
T=7.299999999999999, Entropy = 139.62451817968585, Converged=True, Max dm = 9.235667119966706e-09, damping=0.4, BP density N/V=0.7080770766503197, chemical potential=0
T=7.399999999999999, Entropy = 139.42600773884448, Converged=True, Max dm = 9.696017738702878e-09, damping=0.4, BP density N/V=0.7069527026522101, chemical potential=0
T=7.499999999999998, Entropy = 139.23354071983889, Converged=True, Max dm = 9.068736622763751e-09, damping=0.4, BP density N/V=0.7058617516903055, chemical potential=0
T=7.599999999999999, Entropy = 139.04684606512686, Converged=True, Max dm = 9.625071101249105e-09, damping=0.4, BP density N/V=0.7048027640865859, chemical potential=0
T=7.699999999999998, Entropy = 138.86566865769956, Converged=True, Max dm = 7.867166917918667e-09, damping=0.4, BP density N/V=0.7037743635463366, chemical potential=0
T=7.799999999999998, Entropy = 138.68976817038887, Converged=True, Max dm = 7.244701505371154e-09, damping=0.4, BP density N/V=0.7027752513296599, chemical potential=0
T=7.899999999999999, Entropy = 138.51891801330245, Converged=True, Max dm = 8.882611535199203e-09, damping=0.4, BP density N/V=0.7018042009031212, chemical potential=0
T=7.999999999999998, Entropy = 138.352904369782, Converged=True, Max dm = 8.192815981189483e-09, damping=0.4, BP density N/V=0.7008600530262978, chemical potential=0
T=8.099999999999998, Entropy = 138.19152531231887, Converged=True, Max dm = 7.962899617464103e-09, damping=0.4, BP density N/V=0.6999417112327305, chemical potential=0
T=8.2, Entropy = 138.0345899908382, Converged=True, Max dm = 9.742395973288964e-09, damping=0.4, BP density N/V=0.6990481376690731, chemical potential=0
T=8.299999999999997, Entropy = 137.8819178865512, Converged=True, Max dm = 8.564431080992918e-09, damping=0.4, BP density N/V=0.6981783492598911, chemical potential=0
T=8.399999999999999, Entropy = 137.7333381252653, Converged=True, Max dm = 8.481672003624041e-09, damping=0.4, BP density N/V=0.6973314141689237, chemical potential=0
T=8.499999999999998, Entropy = 137.58868884473065, Converged=True, Max dm = 8.873021317690188e-09, damping=0.4, BP density N/V=0.6965064485305349, chemical potential=0
T=8.599999999999998, Entropy = 137.44781661114465, Converged=True, Max dm = 8.513985572111693e-09, damping=0.4, BP density N/V=0.6957026134277154, chemical potential=0
T=8.699999999999998, Entropy = 137.3105758803898, Converged=True, Max dm = 7.83731571307733e-09, damping=0.4, BP density N/V=0.6949191120952699, chemical potential=0
T=8.799999999999999, Entropy = 137.1768285001024, Converged=True, Max dm = 7.336841578720055e-09, damping=0.4, BP density N/V=0.6941551873289735, chemical potential=0
T=8.899999999999999, Entropy = 137.04644324896938, Converged=True, Max dm = 9.80231157354794e-09, damping=0.4, BP density N/V=0.693410119083255, chemical potential=0
T=8.999999999999998, Entropy = 136.91929541009398, Converged=True, Max dm = 7.715795780072199e-09, damping=0.4, BP density N/V=0.6926832222416539, chemical potential=0
T=9.099999999999998, Entropy = 136.7952663754989, Converged=True, Max dm = 8.074116208955928e-09, damping=0.4, BP density N/V=0.6919738445457907, chemical potential=0
T=9.199999999999998, Entropy = 136.67424327915572, Converged=True, Max dm = 7.412933294981272e-09, damping=0.4, BP density N/V=0.6912813646698668, chemical potential=0
T=9.299999999999997, Entropy = 136.556118656192, Converged=True, Max dm = 7.996265760645827e-09, damping=0.4, BP density N/V=0.6906051904289628, chemical potential=0
T=9.399999999999999, Entropy = 136.44079012608822, Converged=True, Max dm = 7.880668895232645e-09, damping=0.4, BP density N/V=0.6899447571104095, chemical potential=0
T=9.499999999999998, Entropy = 136.3281600979545, Converged=True, Max dm = 8.697497277943e-09, damping=0.4, BP density N/V=0.6892995259185178, chemical potential=0
T=9.599999999999998, Entropy = 136.2181354960877, Converged=True, Max dm = 9.220046059965625e-09, damping=0.4, BP density N/V=0.6886689825237893, chemical potential=0
T=9.699999999999998, Entropy = 136.11062750419782, Converged=True, Max dm = 8.571916620958575e-09, damping=0.4, BP density N/V=0.688052635708518, chemical potential=0
T=9.799999999999997, Entropy = 136.005551326879, Converged=True, Max dm = 8.057850192644267e-09, damping=0.4, BP density N/V=0.6874500161014012, chemical potential=0
T=9.899999999999999, Entropy = 135.9028259669104, Converged=True, Max dm = 9.063688216626176e-09, damping=0.4, BP density N/V=0.6868606749944096, chemical potential=0
