T=7.799999999999999, Entropy = 51.18902807609168, Converged=True, Max dm = 9.229106867625347e-09, damping=0.4, BP density N/V=0.47833838896764347, chemical potential=0
T=7.899999999999999, Entropy = 51.29116142651782, Converged=True, Max dm = 9.800106448576429e-09, damping=0.4, BP density N/V=0.47993627803484773, chemical potential=0
T=7.999999999999998, Entropy = 51.392455628995215, Converged=True, Max dm = 8.171421150837688e-09, damping=0.4, BP density N/V=0.48152096790965354, chemical potential=0
T=8.099999999999998, Entropy = 51.49290859307997, Converged=True, Max dm = 8.914348426092289e-09, damping=0.4, BP density N/V=0.48309245922321264, chemical potential=0
T=8.199999999999998, Entropy = 51.5925191510217, Converged=True, Max dm = 9.460340677502899e-09, damping=0.4, BP density N/V=0.4846507632612539, chemical potential=0
T=8.299999999999997, Entropy = 51.69128697791476, Converged=True, Max dm = 9.007656620596549e-09, damping=0.4, BP density N/V=0.48619590106886584, chemical potential=0
T=8.399999999999999, Entropy = 51.78921251836097, Converged=True, Max dm = 8.470957879591623e-09, damping=0.4, BP density N/V=0.48772790262467147, chemical potential=0
T=8.499999999999998, Entropy = 51.886296919089375, Converged=True, Max dm = 9.650443444364498e-09, damping=0.4, BP density N/V=0.48924680607866017, chemical potential=0
T=8.599999999999998, Entropy = 51.982541967011436, Converged=True, Max dm = 8.492546055283157e-09, damping=0.4, BP density N/V=0.4907526570484659, chemical potential=0
T=8.699999999999998, Entropy = 52.077950032251586, Converged=True, Max dm = 8.206213819583752e-09, damping=0.4, BP density N/V=0.49224550796934324, chemical potential=0
T=8.799999999999997, Entropy = 52.1725240157345, Converged=True, Max dm = 9.0948937270241e-09, damping=0.4, BP density N/V=0.4937254174935187, chemical potential=0
T=8.899999999999997, Entropy = 52.266267300940385, Converged=True, Max dm = 9.72691066580822e-09, damping=0.4, BP density N/V=0.4951924499349792, chemical potential=0
T=8.999999999999998, Entropy = 52.35918370948795, Converged=True, Max dm = 9.278974588688982e-09, damping=0.4, BP density N/V=0.49664667475609287, chemical potential=0
T=9.099999999999998, Entropy = 52.45127746022412, Converged=True, Max dm = 8.989086752730913e-09, damping=0.4, BP density N/V=0.4980881660927845, chemical potential=0
T=9.199999999999998, Entropy = 52.542553131534305, Converged=True, Max dm = 8.029293063760434e-09, damping=0.4, BP density N/V=0.49951700231525303, chemical potential=0
T=9.299999999999997, Entropy = 52.63301562661094, Converged=True, Max dm = 8.840817355970643e-09, damping=0.4, BP density N/V=0.5009332656214842, chemical potential=0
T=9.399999999999997, Entropy = 52.72267014144206, Converged=True, Max dm = 7.884392083656877e-09, damping=0.4, BP density N/V=0.5023370416610367, chemical potential=0
T=9.499999999999996, Entropy = 52.811522135299256, Converged=True, Max dm = 9.648323362476674e-09, damping=0.4, BP density N/V=0.5037284191867959, chemical potential=0
T=9.599999999999998, Entropy = 52.89957730352717, Converged=True, Max dm = 8.25314577790337e-09, damping=0.4, BP density N/V=0.5051074897325769, chemical potential=0
T=9.699999999999998, Entropy = 52.98684155245229, Converged=True, Max dm = 8.110511373615736e-09, damping=0.4, BP density N/V=0.5064743473146214, chemical potential=0
T=9.799999999999997, Entropy = 53.07332097624342, Converged=True, Max dm = 8.045404675804946e-09, damping=0.4, BP density N/V=0.507829088155221, chemical potential=0
T=9.899999999999997, Entropy = 53.15902183557026, Converged=True, Max dm = 9.575362003300114e-09, damping=0.4, BP density N/V=0.5091718104267996, chemical potential=0
